аб 0,003 0,0015574045728593054
ав 0,002 0,004459157522694667
ад 0,002 0,002744977249522371
аж 0,003 0,001570212572600514
аз 0,004 0,004362368565101885
ай 0,001 0,0009226796261357647
ак 0,008 0,005890477398948232
ал 0,007 0,009934597895221761
ам 0,003 0,004506391690696065
ан 0,008 0,007639729662380837
ап 0,003 0,0012921476450110405
ар 0,003 0,004092212547230313
ас 0,005 0,005333574003239289
ат 0,008 0,0069022997393693745
ау 0,001 0,0002510006481739489
ах 0,004 0,0014269172016482612
аш 0,001 0,0012210011945200828
аю 0,002 0,0014895956726301677
ая 0,002 0,00260322895963011
ба 0,002 0,0012104270641598903
бе 0,003 0,002388695566410763
би 0,001 0,001200686718919257
бн 0,002 0,00048518823629250515
бо 0,002 0,0036571309409695945
бр 0,002 0,0015694101146675275
бс 0,001 0,0003316898416517713
бу 0,001 0,001385295419610603
бщ 0,001 0,00047552259434293086
бы 0,003 0,003543360238470641
ва 0,007 0,008398129522127578
вд 0,001 0,000339755387302538
ве 0,009 0,006615745144218607
вз 0,003 0,00044105786954542114
ви 0,005 0,00406602301925525
вл 0,003 0,0016656930177079766
вм 0,001 0,00019559249426057024
вн 0,002 0,0020185552179159583
во 0,009 0,008865598619737654
вр 0,001 0,0011110620479173705
вс 0,007 0,003194042829912578
ву 0,001 0,0010047062495018978
вш 0,002 0,0007030206232363517
вы 0,002 0,0035934186728307773
га 0,001 0,0018492052668692659
гд 0,001 0,0012706041797831188
ги 0,004 0,0014702402908951938
гл 0,002 0,0014478220742268095
гн 0,001 0,0003029049767583121
го 0,011 0,009851176007161337
гр 0,002 0,0015859532789616756
да 0,004 0,0061577127591177635
де 0,005 0,006746786765653636
ди 0,004 0,003586302581911532
дм 0,001 0,00016633531178493287
дн 0,001 0,0025049362970818215
до 0,009 0,005198652630236368
дп 0,001 0,00024354718755314778
др 0,002 0,0015105800680669398
ду 0,002 0,0022095064689965534
ды 0,002 0,0009097222198124386
дя 0,001 0,0004468027936062003
еа 0,001 0,0003013410272132426
еб 0,001 0,0013909367229773327
ев 0,002 0,0025738777955947537
ег 0,003 0,0033947055088308156
ед 0,001 0,004664895205837737
ее 0,003 0,0016907378984813313
еж 0,004 0,0011155105084107422
ез 0,002 0,0018127548803997418
еи 0,001 0,00018445688432564559
ей 0,001 0,003185133860007922
ел 0,007 0,007486016797001257
ем 0,011 0,005635006602228668
ен 0,008 0,012506552683517648
